tweet_id,rating_numerator,rating_denominator,name,stage
855459453768019968,12.0,10.0,,
854732716440526848,12.0,10.0,Marlee,
854482394044301312,13.0,10.0,Arya,
854365224396361728,13.0,10.0,Einstein,
854120357044912130,14.0,10.0,,pupper
854010172552949760,11.0,10.0,,floofer
853760880890318849,12.0,10.0,Alice,
853639147608842240,13.0,10.0,,
852912242202992640,12.0,10.0,Benny,
852672615818899456,12.0,10.0,Aspen,
852553447878664193,13.0,10.0,Jarod,
852189679701164033,12.0,10.0,Sailor,
851591660324737024,11.0,10.0,,
851224888060895234,13.0,10.0,Snoop,
850753642995093505,11.0,10.0,Kyle,
850380195714523136,13.0,10.0,Leo,
850145622816686080,11.0,10.0,Riley,
850019790995546112,12.0,10.0,Boomer,pupper
849776966551130114,12.0,10.0,,
849412302885593088,12.0,10.0,Noosh,
848690551926992896,12.0,10.0,,
848324959059550208,12.0,10.0,Odin,
848212111729840128,6.0,10.0,Jerry,
847842811428974592,12.0,10.0,Rontu,
847606175596138505,12.0,10.0,Cannon,
847251039262605312,12.0,10.0,Furzey,
847157206088847362,11.0,10.0,Daisy,
847116187444137987,11.0,10.0,,
846874817362120707,13.0,10.0,Tuck,
846514051647705089,13.0,10.0,Barney,doggo
846153765933735936,13.0,10.0,Vixen,
846042936437604353,12.0,10.0,Jarvis,
845812042753855489,13.0,10.0,,
845677943972139009,12.0,10.0,,
845397057150107648,13.0,10.0,Mimosa,doggo
845306882940190720,12.0,10.0,Pickles,pupper
844979544864018432,13.0,10.0,,
844973813909606400,12.0,10.0,Brady,
844704788403113984,13.0,10.0,Luna,
844223788422217728,12.0,10.0,Margo,
843856843873095681,12.0,10.0,Sadie,
843604394117681152,11.0,10.0,Hank,
843235543001513987,13.0,10.0,Tycho,
842846295480000512,13.0,10.0,Charlie,
842765311967449089,12.0,10.0,Indie,
842535590457499648,13.0,10.0,Winnie,
842163532590374912,12.0,10.0,George,
842115215311396866,12.0,10.0,Bentley,
841680585030541313,12.0,10.0,Penny,
841439858740625411,14.0,10.0,,doggo
841314665196081154,13.0,10.0,Max,
841077006473256960,12.0,10.0,Dawn,
840632337062862849,12.0,10.0,Maddie,
840268004936019968,12.0,10.0,Monty,
839990271299457024,13.0,10.0,Sojourner,
839549326359670784,12.0,10.0,Winston,
839239871831150596,13.0,10.0,Odie,
838921590096166913,13.0,10.0,Arlo,
838561493054533637,13.0,10.0,Walter,
838476387338051585,13.0,10.0,Stanley,
838083903487373313,13.0,10.0,Daisy,
837820167694528512,12.0,10.0,,pupper
837471256429613056,12.0,10.0,Vincent,
837366284874571778,13.0,10.0,Lucy,puppo
837110210464448512,13.0,10.0,Clark,pupper
836989968035819520,12.0,10.0,Mookie,
836753516572119041,12.0,10.0,Meera,doggo
836260088725786625,13.0,10.0,Lucy,
836001077879255040,13.0,10.0,,
835574547218894849,11.0,10.0,Eli,
835297930240217089,12.0,10.0,Ash,
835264098648616962,12.0,10.0,Lola,
835172783151792128,12.0,10.0,,
835152434251116546,0.0,10.0,,
834931633769889797,12.0,10.0,Tucker,
834786237630337024,13.0,10.0,Tobi,
834574053763584002,13.0,10.0,,doggo
834458053273591808,12.0,10.0,Chester,
834209720923721728,12.0,10.0,Wilson,
834086379323871233,12.0,10.0,Lipton,
833863086058651648,12.0,10.0,Bentley,
833826103416520705,13.0,10.0,Charlie,
833722901757046785,13.0,10.0,Bronte,
833479644947025920,13.0,10.0,Poppy,
833124694597443584,12.0,10.0,Gidget,pupper
832998151111966721,13.0,10.0,Rhino,doggo
832757312314028032,13.0,10.0,Willow,
832636094638288896,12.0,10.0,Orion,
832397543355072512,12.0,10.0,Eevee,
832369877331693569,11.0,10.0,Charlie,
832273440279240704,14.0,10.0,Smiley,doggo
832032802820481025,12.0,10.0,Miguel,doggo
831939777352105988,12.0,10.0,Emanuel,doggo
831911600680497154,14.0,10.0,Kuyu,
831670449226514432,13.0,10.0,Daisy,
831650051525054464,13.0,10.0,,
831552930092285952,13.0,10.0,Dutch,
831322785565769729,12.0,10.0,Pete,doggo
831315979191906304,13.0,10.0,,pupper
831309418084069378,12.0,10.0,Scooter,
831262627380748289,12.0,10.0,Tucker,
830956169170665475,12.0,10.0,Reggie,
830583320585068544,13.0,10.0,Lilly,
830097400375152640,13.0,10.0,Samson,
829861396166877184,12.0,10.0,Mia,
829501995190984704,12.0,10.0,Leo,
829449946868879360,11.0,10.0,,doggo
829374341691346946,13.0,10.0,Astrid,doggo
829141528400556032,12.0,10.0,Malcolm,
829011960981237760,13.0,10.0,Dexter,
828770345708580865,13.0,10.0,Alfie,
828708714936930305,10.0,10.0,Fiona,
828650029636317184,14.0,10.0,,
828409743546925057,12.0,10.0,Mutt,
828408677031882754,12.0,10.0,Bear,
828381636999917570,14.0,10.0,Doobert,doggo
828376505180889089,13.0,10.0,Beebop,
828372645993398273,12.0,10.0,Alexander,
828011680017821696,11.0,10.0,Brutus,
827933404142436356,12.0,10.0,Kona,pupper
827653905312006145,12.0,10.0,Boots,
827600520311402496,13.0,10.0,Tucker,
827324948884643840,12.0,10.0,Ralphie,
827199976799354881,13.0,10.0,Charlie,
826958653328592898,12.0,10.0,Loki,doggo
826848821049180160,13.0,10.0,Cupid,doggo
826598365270007810,13.0,10.0,Pawnd,
826476773533745153,12.0,10.0,Pilot,doggo
826240494070030336,11.0,10.0,,
826204788643753985,13.0,10.0,,doggo
826115272272650244,13.0,10.0,Ike,
825829644528148480,12.0,10.0,Toby,
825535076884762624,14.0,10.0,,puppo
825147591692263424,13.0,10.0,Sweet,
825026590719483904,12.0,10.0,Pablo,puppo
824775126675836928,12.0,10.0,Scooter,
824663926340194305,13.0,10.0,Wilson,
824325613288833024,13.0,10.0,,pupper
823939628516474880,12.0,10.0,Cash,
823699002998870016,12.0,10.0,Winston,
823581115634085888,11.0,10.0,Crawford,
823322678127919110,11.0,10.0,Wyatt,
822975315408461824,12.0,10.0,Albus,
822872901745569793,13.0,10.0,,puppo
822859134160621569,12.0,10.0,Hobbes,
822610361945911296,12.0,10.0,,
822489057087389700,13.0,10.0,Paisley,
822462944365645825,14.0,10.0,Gabe,pupper
822244816520155136,11.0,10.0,,
821886076407029760,13.0,10.0,Jimison,
821765923262631936,13.0,10.0,Duchess,doggo
821522889702862852,13.0,10.0,Harlso,
821407182352777218,14.0,10.0,Sundance,doggo
821149554670182400,12.0,10.0,Luca,
821107785811234820,11.0,10.0,,doggo
821044531881721856,12.0,10.0,Flash,
820749716845686786,13.0,10.0,Sunny,
820690176645140481,84.0,70.0,,
820314633777061888,14.0,10.0,,
819952236453363712,13.0,10.0,Oliver,puppo
